Berth,MaxDraft,MaxLOA,BerthLength
ASB-JB,6,85,63.5
CCEMENT,14,240,270
CFT,6.5,153,270
CLPTSK,16.8,280,545
CMKEN-N,9.5,156,170
CMKEN-S,7,120,140
CVX,12.6,250,90
CVX-5,3.2,80,80
CVX-6A,7.3,110,50
CVX-LPG,6.5,114,95
EMTY-E1,14.63,274,255
EMTY-E4,5.5,107,30
EMTY-W1,14.6,250,267
EMTY-W2,7.5,107,41
EURO-1,9,165,240
EURO-2,9.5,200,280
EURO-3P,8.6,165,215
HKELECT(N),14.6,262,290
HKELECT(S),14.6,262,290
KC1,14,370,305
KC2,15.5,370,305
KC3,14,370,305
KC4,14.2,370,305
KC5,15.5,400,472
KC6,14.2,350,564
KC7,15.5,350,564
KC8,16,400,380
KC9,16,400,450
KC10,15.5,370,700
KC11,15.5,340,338
KC12,15..5,370,338
KC13,15.5,370,338
KC14,15.5,370,338
KC15,15.5,370,350
KC16,15.5,400,350
KC17,16.5,400,300
KC18,16.5,400,300
KC19,16.5,400,300
KC20,15.5,310,340
KTCT-1,11,365,450
KTCT-2,11,365,400
LOP,8,122,125
MFT,5,120,220
OTN,8.5,270,340
OTS,10.67,290,381
PAFF-E,15,230,264
PAFF-W,15,195,241
RTT-1,8.5,175,200
RTT-2,8.5,150,250
RTT-4,8.5,170,240
RTT-5,8.5,175,300
SHACHAU,7.5,120,152
SHELL,14.5,245,226
SHELL-1E,6.5,100,80
SHELL-2E,5.5,90,75
SHELL-LPG,8,135,118
SINO-A,14,250,280
SINO-B,7.5,120,129
SINO-C,6.5,90,115
SINO-CW,5,65,70
SSK-TD,5,70,50
SWSTL,10.3,200,215
TPGAS,11,228,300
TSK-MHB,8,120,140
YUENFAT,6.7,153,171
SLA,7.5,400,0
SELA,7.5,400, 0
SWLA,7.5,400, 0
