Call Sign,Call Sign.1,Vessel Name,Ship Type,Flag,Vessel Max Draft,Last Port,Next Port,Current Location,Enter Location,Exit Location,IMO,Berth,ATA,EDT,ADT,ETA,WaitingTime,MaxDraft,MaxLOA,BerthLength,ATA_day_Friday,ATA_day_Monday,ATA_day_Saturday,ATA_day_Sunday,ATA_day_Thursday,ATA_day_Tuesday,ATA_day_Wednesday,EDT_day_Friday,EDT_day_Monday,EDT_day_Saturday,EDT_day_Sunday,EDT_day_Thursday,EDT_day_Tuesday,EDT_day_Wednesday,ATA_shift,EDT_shift,ATA_season_autumn,ATA_season_spring,ATA_season_summer,ATA_season_winter,EDT_season_autumn,EDT_season_spring,EDT_season_summer,EDT_season_winter,ATA_inport,Length,Gross Tonnage,Breadth,ATA_berth_delay
2BOS2,2BOS2,COSCO SHANGHAI,CONTAINER,GBI,12.8,BUSAN,"XIAMEN, FJ",KC12,WL,TSK,9221097,KC12,2024-03-14 23:22:00,2024-03-15 19:00:00,2024-03-15 14:03:00,2024-03-14 23:22:00,14.683333333333334,,370.0,338.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3,3,False,True,False,False,False,True,False,False,5,280.0,65531.0,39.0,4.95
VRFX8,VRFX8,OOCL NAGOYA,CONTAINER,HKG,11.2,"NINGBO, ZJ",KAOHSIUNG,KC19,WL,TSK,9445538,KC19,2024-10-07 17:58:00,2024-10-08 13:30:00,2024-10-08 06:13:00,2024-10-07 17:58:00,12.25,16.5,400.0,300.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2,True,False,False,False,True,False,False,False,20,260.0,40168.0,32.0,7.283333333333333
V7ZZ9,V7ZZ9,INSIGHT,CONTAINER,MAR,8.5,"SHEKOU, SHENZHEN",SIHANOUK VILLE,KC3,TSK,PT,9790907,KC3,2023-05-21 00:42:00,2023-05-21 07:00:00,2023-05-21 10:31:00,2023-05-21 00:42:00,9.816666666666666,14.0,370.0,305.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1,1,False,True,False,False,False,True,False,False,4,172.0,17888.0,27.0,3.5166666666666666
VRMR3,VRMR3,NAVITEC,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,HKG,7.2,"OTHER, CHINA (COAST)","CAILAN, VIETNAM",PT,,,9157337,SELA,2024-09-24 13:54:00,2024-09-24 23:00:00,2024-09-24 19:55:00,2024-09-24 13:54:00,6.016666666666667,7.5,400.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,True,False,False,False,True,False,False,False,18,199.0,41484.0,32.0,3.0833333333333335
9V7752,9V7752,SIEM COPERNICUS,CAR CARRIER,SNG,8.6,NAGOYA,LAEM CHABANG,PT,,,9448073,KC16,2024-09-14 14:29:00,2024-09-15 11:28:00,2024-09-14 20:01:00,2024-09-14 14:29:00,5.533333333333333,15.5,400.0,350.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,2,2,True,False,False,False,True,False,False,False,10,180.0,43810.0,30.0,15.45
HSGF2,HSGF2,URU BHUM,CONTAINER,THA,10.6,"SHEKOU, SHENZHEN","SHEKOU, SHENZHEN",KC6,TSK,PT,9293234,KC6,2024-10-02 22:23:00,2024-10-03 17:00:00,2024-10-03 15:58:00,2024-10-02 22:23:00,17.583333333333332,14.2,350.0,564.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3,3,True,False,False,False,True,False,False,False,13,194.0,24955.0,32.0,1.0333333333333334
3EUJ,3EUJ,MSC AMSTERDAM,CONTAINER,PAN,11.5,"XIAMEN, FJ","SHANGHAI, SH",KC5,MB,MB,9606338,KC5,2024-09-16 22:41:00,2024-09-17 13:00:00,2024-09-17 14:41:00,2024-09-16 22:41:00,16.0,15.5,400.0,472.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3,2,True,False,False,False,True,False,False,False,10,399.0,176490.0,54.0,1.6833333333333333
2DXY2,2DXY2,EDISON,CONTAINER,GBI,11.05,ZHOUSHAN,"NINGBO, ZJ",KC8,WL,TSK,9463011,KC8,2024-09-26 22:41:00,2024-09-27 10:30:00,2024-09-27 12:14:00,2024-09-26 22:41:00,13.55,16.0,400.0,380.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3,2,True,False,False,False,True,False,False,False,13,366.0,141649.0,48.0,1.7333333333333334
VRLI6,VRLI6,SITC YOKKAICHI,CONTAINER,HKG,8.2,HAIPHONG,HAIPHONG,KC3,S,LKTPBW,9638331,KC3,2024-07-30 03:31:00,2024-07-30 09:00:00,2024-07-30 09:04:00,2024-07-30 03:31:00,5.55,14.0,370.0,305.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,2,False,False,True,False,False,False,True,False,7,141.0,9566.0,22.0,0.06666666666666667
H9XU,H9XU,MSC LUISA,CONTAINER,PAN,8.3,"NINGBO, ZJ",QINGDAO,KC18,WL,TSK,9225677,KC2,2023-10-24 14:23:00,2023-10-24 15:00:00,2023-10-24 22:33:00,2023-10-24 14:23:00,8.166666666666666,15.5,370.0,305.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,2,True,False,False,False,True,False,False,False,4,299.0,75590.0,40.0,7.55
BKIZ,BKIZ,EVER LOYAL,CONTAINER,CHT,11.0,"SHEKOU, SHENZHEN",KAOHSIUNG,KC13,WL,TSK,9604158,KC13,2024-05-17 18:35:00,2024-05-18 23:00:00,2024-05-18 20:58:00,2024-05-17 18:35:00,26.383333333333333,15.5,370.0,338.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,False,True,False,False,False,True,False,False,6,334.0,99995.0,45.0,2.033333333333333
D5FN8,D5FN8,TYNDALL,CONTAINER,LIB,8.7,"YANTIAN, SHENZHEN","YANTIAN, GD",KC2,MB,MB,9627928,KC2,2023-01-01 15:36:00,2023-01-02 10:00:00,2023-01-02 11:59:00,2023-01-01 15:36:00,20.383333333333333,15.5,370.0,305.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,2,False,False,False,True,False,False,False,True,2,300.0,96628.0,48.0,1.9833333333333334
T2RZ5,T2RZ5,MASAGANA,CHEMICAL,TLU,5.4,"CHIWAN, SHENZHEN",SANDAKAN,SLA,TSK,PT,9404895,SLA,2024-08-30 00:04:00,2024-08-30 08:00:00,2024-08-30 05:47:00,2024-08-30 00:04:00,5.716666666666667,7.5,400.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,2,False,False,True,False,False,False,True,False,6,128.0,8627.0,20.0,2.216666666666667
